items,hour,rain,event,kitchen_load,prep_time
veg biryani,20,1,0,17,32.1
"fried rice, tandoori chicken",22,0,0,1,20.7
"burger, naan, chicken biryani",12,0,0,2,32.0
"naan, burger",19,0,0,2,23.6
"chicken biryani, naan, veg biryani",4,0,0,12,30.8
"naan, burger, masala dosa",1,0,0,17,34.8
"paneer butter masala, tandoori chicken",0,0,0,6,25.7
"veg biryani, burger, pizza",7,0,1,18,37.5
"fried rice, burger",9,0,1,6,32.9
"tandoori chicken, paneer butter masala, masala dosa",1,0,1,10,33.6
"chicken biryani, pasta, fried rice",14,0,1,2,32.9
"naan, tandoori chicken",7,0,0,16,29.0
"tandoori chicken, veg biryani, pasta",16,0,0,11,26.4
"naan, chicken biryani, pasta",1,0,0,8,27.5
fried rice,3,1,0,18,30.3
"veg biryani, chicken biryani",9,0,0,5,19.9
paneer butter masala,23,0,0,5,14.9
"pizza, veg biryani, fried rice",21,0,0,2,30.3
"chicken biryani, naan, paneer butter masala",13,0,0,15,35.9
"pizza, paneer butter masala, naan",11,0,0,11,32.2
"burger, paneer butter masala, chicken biryani",10,0,0,15,31.3
"pizza, chicken biryani",3,0,1,14,31.0
"pizza, naan",12,0,0,14,34.7
"pasta, pizza, veg biryani",13,0,0,3,31.6
masala dosa,8,0,0,6,19.9
"tandoori chicken, fried rice, pizza",8,0,0,5,28.0
naan,8,1,0,12,21.4
naan,18,0,0,4,19.7
pizza,1,0,0,2,13.4
"pasta, tandoori chicken, fried rice",15,0,0,12,30.2
"pizza, pasta",2,0,0,2,19.7
paneer butter masala,19,0,0,6,15.2
fried rice,21,0,0,16,29.1
pasta,7,0,0,9,19.6
"pizza, masala dosa",12,0,1,6,33.3
fried rice,10,0,1,4,27.6
"masala dosa, tandoori chicken",19,1,0,11,28.4
veg biryani,10,0,0,12,19.2
"burger, tandoori chicken, paneer butter masala",17,0,0,1,26.8
"chicken biryani, fried rice, tandoori chicken",10,0,0,5,29.0
"pizza, burger, masala dosa",1,0,0,6,28.0
"pasta, fried rice",7,0,0,10,23.8
chicken biryani,17,0,0,11,22.0
"veg biryani, fried rice",17,0,0,3,22.7
"fried rice, veg biryani, burger",13,1,1,14,46.6
"tandoori chicken, naan",10,1,1,2,32.0
"burger, masala dosa, chicken biryani",23,1,0,9,35.7
"fried rice, chicken biryani",8,0,0,3,22.3
"masala dosa, veg biryani",18,0,0,4,21.2
"masala dosa, pasta",18,0,0,18,28.5
masala dosa,2,0,0,6,20.6
"paneer butter masala, pizza",15,0,0,1,21.2
"masala dosa, pasta, tandoori chicken",7,0,0,8,28.6
burger,20,0,0,6,23.3
"paneer butter masala, pasta",16,0,0,15,28.6
masala dosa,15,1,0,7,23.2
"tandoori chicken, naan",5,0,0,4,24.0
"burger, pasta, masala dosa",21,0,0,10,37.1
"paneer butter masala, pasta, masala dosa",0,0,0,15,31.5
"pizza, pasta, burger",12,0,0,15,40.3
paneer butter masala,2,0,0,4,16.1
"burger, masala dosa",6,0,0,5,20.1
"pizza, naan, pasta",10,0,0,11,29.1
"tandoori chicken, chicken biryani, pizza",9,0,0,18,33.6
naan,9,1,1,4,27.1
tandoori chicken,8,1,0,5,18.9
masala dosa,1,0,0,19,25.4
paneer butter masala,11,0,1,11,25.5
veg biryani,15,1,0,1,18.2
"pasta, pizza",9,1,0,8,23.8
"chicken biryani, masala dosa",16,0,0,9,27.3
"paneer butter masala, chicken biryani, naan",15,0,0,11,30.4
masala dosa,0,0,1,11,29.1
pizza,5,0,1,7,27.6
"veg biryani, burger",5,0,0,18,27.6
"chicken biryani, burger, masala dosa",5,0,0,9,29.0
pasta,7,0,1,17,28.3
"paneer butter masala, veg biryani, fried rice",4,0,0,19,34.9
"pizza, masala dosa, veg biryani",12,0,0,13,36.2
"pizza, chicken biryani",12,0,0,19,37.3
"paneer butter masala, chicken biryani, masala dosa",19,0,0,6,22.7
fried rice,14,0,0,8,16.2
naan,9,0,0,18,22.4
pizza,11,1,0,3,20.9
"veg biryani, pizza, naan",10,0,0,15,30.2
"pasta, paneer butter masala, fried rice",9,0,0,15,34.2
masala dosa,1,1,0,14,26.2
"chicken biryani, pasta",17,1,0,5,24.9
"tandoori chicken, fried rice, chicken biryani",6,0,0,10,27.9
naan,14,0,0,19,27.2
naan,18,1,0,11,25.4
"burger, tandoori chicken, veg biryani",23,0,0,12,30.0
"naan, fried rice",8,0,0,12,28.0
"burger, masala dosa",20,0,1,12,39.9
"veg biryani, naan, fried rice",22,0,0,19,34.4
"pizza, naan, fried rice",1,0,0,2,23.3
veg biryani,13,0,0,4,23.5
"pasta, pizza",4,0,1,2,24.7
pizza,17,0,0,12,22.1
"pizza, chicken biryani",9,0,0,6,21.2
fried rice,23,0,0,10,21.7
"burger, paneer butter masala, pasta",6,1,0,14,34.3
"naan, burger",8,0,0,11,25.9
"pasta, tandoori chicken, burger",0,0,0,17,35.0
masala dosa,0,1,0,5,23.5
"pizza, tandoori chicken",12,0,0,15,33.7
"paneer butter masala, pasta, tandoori chicken",0,0,0,13,28.5
fried rice,22,0,0,2,15.9
"naan, veg biryani, fried rice",15,0,0,7,32.0
"chicken biryani, paneer butter masala",1,0,0,12,23.8
"masala dosa, pizza",8,0,0,12,27.9
burger,8,1,1,17,33.4
paneer butter masala,21,0,0,19,30.7
"pasta, pizza, naan",11,0,0,5,29.2
"pasta, veg biryani, burger",17,0,0,15,33.4
paneer butter masala,11,0,0,15,22.7
pasta,7,1,0,7,20.4
"masala dosa, burger, paneer butter masala",10,0,0,9,29.1
tandoori chicken,20,0,0,7,23.2
"paneer butter masala, chicken biryani",3,0,0,7,23.7
"fried rice, burger",13,0,0,2,25.1
"fried rice, chicken biryani, pasta",0,1,0,12,36.7
"naan, paneer butter masala, veg biryani",3,0,0,13,32.1
pasta,16,0,0,10,19.6
"burger, pasta, fried rice",7,0,1,13,40.5
"burger, pasta",10,0,1,3,28.5
"naan, paneer butter masala",14,0,0,10,23.9
"paneer butter masala, veg biryani, burger",12,0,0,5,28.8
paneer butter masala,0,1,0,5,19.9
"naan, burger",3,0,0,14,25.1
"veg biryani, chicken biryani",10,1,0,5,24.9
"paneer butter masala, pasta",0,0,0,14,28.7
"fried rice, masala dosa",11,1,0,4,25.4
"tandoori chicken, burger, pizza",0,0,1,19,38.4
masala dosa,16,0,0,17,23.6
pizza,21,1,0,5,28.3
naan,9,0,0,3,15.4
masala dosa,2,0,0,15,22.2
"pasta, chicken biryani, fried rice",13,0,0,9,36.8
masala dosa,9,0,0,10,21.1
"veg biryani, naan, pizza",20,0,0,15,39.7
"paneer butter masala, masala dosa",11,0,0,16,26.3
pizza,14,0,0,5,17.5
"paneer butter masala, masala dosa",17,1,0,13,34.6
fried rice,9,1,0,2,17.9
"chicken biryani, masala dosa",2,0,0,1,21.0
"tandoori chicken, veg biryani",16,0,0,16,28.6
"masala dosa, fried rice",3,0,0,10,25.6
veg biryani,17,0,0,13,20.2
"fried rice, naan",11,1,0,10,27.3
fried rice,20,0,0,4,20.3
"pasta, chicken biryani",16,0,0,12,26.4
"chicken biryani, veg biryani",19,0,0,13,26.6
burger,22,0,0,7,19.6
"tandoori chicken, masala dosa, pasta",18,0,0,5,27.6
"masala dosa, fried rice",0,0,1,4,28.6
"paneer butter masala, pizza",22,0,0,10,24.2
"naan, burger, masala dosa",3,0,0,18,34.7
"paneer butter masala, pizza, pasta",22,0,0,6,26.9
fried rice,0,0,0,11,19.4
"masala dosa, pasta, paneer butter masala",4,0,1,17,44.3
"tandoori chicken, chicken biryani",2,0,0,15,28.8
"pizza, paneer butter masala, burger",10,0,0,14,34.0
pasta,17,0,0,3,17.8
"veg biryani, masala dosa",9,0,0,6,22.8
"tandoori chicken, pizza",15,0,0,1,22.8
paneer butter masala,3,0,0,17,21.6
"tandoori chicken, paneer butter masala",11,0,0,15,32.5
naan,17,0,0,8,15.7
"fried rice, veg biryani, naan",20,0,0,7,31.6
"fried rice, veg biryani, pizza",0,0,1,3,34.1
veg biryani,5,0,0,14,25.3
"naan, burger",10,0,0,16,31.0
paneer butter masala,0,0,0,2,14.7
"naan, veg biryani",12,0,0,18,36.0
"pasta, masala dosa, naan",8,0,0,15,29.3
pizza,10,0,0,6,19.5
"chicken biryani, fried rice, pasta",14,1,0,19,37.0
tandoori chicken,23,1,0,16,25.2
"masala dosa, fried rice",14,0,0,1,20.1
"fried rice, naan",19,0,0,1,20.6
pizza,14,1,0,13,24.1
"pizza, naan, veg biryani",14,0,0,14,30.5
"veg biryani, fried rice, pizza",11,0,0,10,32.8
"burger, paneer butter masala",2,0,1,7,32.3
"fried rice, pizza",21,0,0,12,31.8
"veg biryani, burger",19,1,0,7,27.9
pizza,23,0,0,6,17.6
naan,18,0,0,10,22.6
"chicken biryani, pasta",11,0,0,12,24.7
fried rice,21,1,0,14,29.0
"tandoori chicken, paneer butter masala, chicken biryani",6,0,0,19,31.9
"fried rice, veg biryani",7,0,0,10,27.4
naan,7,0,0,15,22.0
"pasta, paneer butter masala",22,1,0,5,22.2
"paneer butter masala, chicken biryani",13,0,0,18,34.4
masala dosa,12,0,0,4,24.1
"tandoori chicken, chicken biryani",1,1,1,6,31.2
"chicken biryani, tandoori chicken",3,0,0,15,24.8
"pizza, paneer butter masala, pasta",18,0,0,4,27.6
"veg biryani, masala dosa, pasta",2,0,0,15,31.9
"paneer butter masala, naan",1,0,0,2,21.5
"pizza, naan",0,0,0,3,20.1
burger,14,0,0,8,15.8
"tandoori chicken, burger, paneer butter masala",17,0,0,10,33.1
"paneer butter masala, naan, veg biryani",15,0,0,10,33.9
"tandoori chicken, masala dosa, veg biryani",11,0,0,8,27.8
"pizza, fried rice, chicken biryani",19,0,0,11,32.2
chicken biryani,18,0,0,12,23.4
paneer butter masala,3,0,0,6,17.5
pizza,10,0,0,5,17.1
"pasta, paneer butter masala, tandoori chicken",6,1,0,3,31.0
veg biryani,21,0,0,14,26.8
"pasta, pizza",13,0,0,18,34.3
"tandoori chicken, fried rice",4,1,0,15,31.4
"masala dosa, chicken biryani",4,0,0,6,25.2
"pizza, paneer butter masala, chicken biryani",11,0,0,18,31.9
"paneer butter masala, pasta",22,0,0,6,22.6
chicken biryani,5,0,0,11,20.9
"pizza, veg biryani",6,0,0,17,28.9
"chicken biryani, tandoori chicken, naan",20,0,0,14,37.3
pasta,8,1,0,16,27.0
"burger, masala dosa, pasta",7,0,0,2,28.0
"veg biryani, chicken biryani",23,1,0,9,26.8
"fried rice, burger",15,0,0,2,21.4
"tandoori chicken, masala dosa, veg biryani",1,0,0,6,29.8
"naan, fried rice, tandoori chicken",5,1,0,13,34.2
burger,2,1,0,7,18.9
"paneer butter masala, burger",8,0,0,1,17.2
paneer butter masala,19,0,0,12,21.1
chicken biryani,15,0,0,2,15.5
"fried rice, naan, tandoori chicken",12,0,0,8,29.0
"masala dosa, pasta, veg biryani",16,0,0,12,35.6
"pizza, burger, tandoori chicken",19,0,0,15,37.2
masala dosa,20,0,0,18,30.5
pasta,5,0,0,11,20.0
pasta,3,1,0,13,25.3
naan,3,0,0,4,15.3
"masala dosa, chicken biryani",5,0,0,3,19.5
"chicken biryani, naan",0,0,0,18,29.6
veg biryani,7,1,0,7,21.4
"chicken biryani, veg biryani",6,0,0,13,25.3
"tandoori chicken, pasta",7,0,0,4,20.2
"chicken biryani, burger, naan",2,0,0,1,26.5
"chicken biryani, paneer butter masala",18,0,0,9,19.9
veg biryani,16,0,0,10,19.4
naan,12,0,0,18,30.5
"chicken biryani, tandoori chicken",12,0,0,7,27.2
pizza,0,0,0,18,24.6
"tandoori chicken, pizza",0,0,0,12,25.3
"chicken biryani, fried rice",14,0,0,15,28.4
veg biryani,8,0,0,11,19.4
"burger, fried rice, chicken biryani",19,0,0,2,23.3
"fried rice, pizza, veg biryani",3,0,0,18,31.1
"masala dosa, pasta",12,0,0,7,24.7
"burger, veg biryani, chicken biryani",12,0,0,4,33.1
"tandoori chicken, naan, fried rice",20,0,0,8,37.3
pizza,12,0,0,9,22.3
"veg biryani, burger, tandoori chicken",2,0,0,17,32.1
"naan, masala dosa, veg biryani",12,1,0,12,39.5
veg biryani,1,1,0,12,20.9
"pasta, naan, veg biryani",4,0,0,6,27.7
"tandoori chicken, masala dosa, paneer butter masala",11,0,1,8,34.9
"tandoori chicken, burger, naan",22,0,0,5,28.6
tandoori chicken,6,0,0,16,21.2
masala dosa,16,0,0,8,17.9
veg biryani,0,0,1,8,23.2
"masala dosa, naan, veg biryani",12,0,0,6,34.6
"masala dosa, tandoori chicken",15,1,0,12,27.6
"chicken biryani, veg biryani",8,0,0,14,26.4
"fried rice, veg biryani",10,0,0,2,20.2
burger,16,1,0,11,22.4
"chicken biryani, tandoori chicken",10,1,0,6,27.6
"tandoori chicken, pizza, naan",14,1,0,5,30.6
"veg biryani, chicken biryani, fried rice",23,0,0,13,26.6
pasta,21,0,0,14,28.1
"fried rice, burger",8,0,0,3,22.7
"pizza, masala dosa",14,0,0,18,29.2
masala dosa,5,1,0,1,19.6
"chicken biryani, tandoori chicken",8,1,0,14,30.6
"fried rice, masala dosa",14,1,0,2,23.8
"fried rice, veg biryani",3,0,0,15,27.6
"naan, burger",7,1,0,13,30.6
naan,17,1,0,6,17.7
"tandoori chicken, naan, burger",18,0,0,2,28.5
"pizza, fried rice",6,0,0,11,26.8
masala dosa,4,0,0,9,22.2
"fried rice, tandoori chicken, naan",23,0,0,14,32.6
"tandoori chicken, pizza",6,0,0,7,22.2
"fried rice, masala dosa, pizza",12,0,0,4,26.9
"paneer butter masala, veg biryani",14,0,0,3,23.4
"pasta, paneer butter masala",0,0,0,14,26.2
"masala dosa, burger",15,1,0,6,23.7
"paneer butter masala, burger, veg biryani",6,0,0,7,25.4
"chicken biryani, paneer butter masala, burger",10,1,0,18,39.1
"pizza, masala dosa",0,0,0,17,28.7
chicken biryani,21,0,0,4,20.1
masala dosa,7,1,0,18,22.4
"paneer butter masala, veg biryani",2,0,0,10,24.1
chicken biryani,12,1,1,17,39.4
"tandoori chicken, veg biryani, fried rice",19,1,0,1,28.8
paneer butter masala,14,1,0,8,26.3
tandoori chicken,15,0,0,8,17.8
"paneer butter masala, masala dosa, naan",22,0,0,13,32.4
"chicken biryani, masala dosa",18,0,0,13,25.1
tandoori chicken,14,0,0,1,13.9
pizza,13,0,0,15,30.1
"chicken biryani, tandoori chicken",2,1,0,19,34.9
"pasta, burger",21,0,0,16,34.4
masala dosa,10,1,0,8,19.2
"burger, pizza",8,0,0,4,25.0
"veg biryani, masala dosa",23,0,0,18,27.4
"chicken biryani, veg biryani",17,0,0,13,25.8
naan,3,0,0,2,15.3
"pizza, masala dosa",5,1,0,8,25.3
"masala dosa, naan, burger",20,0,0,18,38.6
"masala dosa, veg biryani",17,1,0,3,23.9
"burger, paneer butter masala, chicken biryani",14,0,0,7,30.2
tandoori chicken,3,0,0,8,17.4
"burger, paneer butter masala, chicken biryani",14,0,0,11,32.7
"pizza, pasta, tandoori chicken",10,0,0,13,29.9
"naan, veg biryani",0,0,0,15,25.1
"tandoori chicken, burger",10,0,0,5,22.4
chicken biryani,22,0,0,19,26.5
"burger, fried rice, chicken biryani",18,0,0,16,33.4
"pasta, chicken biryani, tandoori chicken",8,1,0,3,32.1
naan,11,0,0,14,21.2
naan,5,0,0,9,20.9
"masala dosa, fried rice, tandoori chicken",16,0,0,12,26.6
"veg biryani, pasta",19,0,0,2,22.5
"pizza, paneer butter masala, chicken biryani",13,0,0,6,35.2
"pizza, tandoori chicken, veg biryani",1,1,1,4,40.1
"pasta, fried rice",18,0,0,5,20.0
"veg biryani, chicken biryani",6,0,0,7,25.8
"pizza, paneer butter masala",2,0,0,4,20.9
paneer butter masala,14,0,0,5,20.6
"fried rice, pasta",9,0,0,2,25.0
naan,19,0,0,19,22.9
burger,0,0,0,6,18.0
"burger, naan",17,0,0,19,27.2
"masala dosa, pasta, paneer butter masala",7,0,0,18,33.6
masala dosa,7,0,0,15,20.5
"naan, tandoori chicken",8,0,0,15,31.2
"pasta, burger",4,0,0,11,26.1
"burger, paneer butter masala",0,1,0,11,25.7
"masala dosa, veg biryani, fried rice",17,0,0,13,32.4
"tandoori chicken, naan, veg biryani",2,0,0,3,26.9
naan,18,0,0,5,12.1
"pasta, naan",13,1,0,4,28.4
tandoori chicken,2,0,1,3,26.8
"tandoori chicken, fried rice",7,0,0,12,25.1
"tandoori chicken, pasta, pizza",19,0,0,4,25.1
"tandoori chicken, masala dosa, paneer butter masala",21,0,1,16,43.1
"veg biryani, chicken biryani, fried rice",9,0,0,13,30.1
chicken biryani,4,1,0,18,26.0
"paneer butter masala, pizza",5,1,0,4,27.1
"naan, tandoori chicken",15,0,0,11,24.0
"chicken biryani, masala dosa",6,1,0,7,28.8
"fried rice, chicken biryani",21,0,0,5,26.7
paneer butter masala,15,1,0,3,17.8
"chicken biryani, masala dosa",18,0,0,12,27.2
"veg biryani, naan, tandoori chicken",18,0,0,18,32.8
pizza,15,0,0,1,18.8
"tandoori chicken, chicken biryani, naan",7,0,0,2,28.0
"pizza, veg biryani",22,0,0,2,16.4
chicken biryani,8,0,0,1,13.3
"burger, paneer butter masala, fried rice",13,0,0,10,34.6
tandoori chicken,23,0,0,7,17.1
"naan, pasta",19,0,0,10,25.1
pasta,22,1,0,17,25.2
"chicken biryani, burger, paneer butter masala",17,0,0,14,30.4
"pasta, naan",17,0,0,8,23.3
"masala dosa, paneer butter masala",14,0,1,17,36.5
chicken biryani,3,0,0,3,16.7
"masala dosa, burger",17,0,0,18,30.8
chicken biryani,22,0,0,11,20.7
pizza,12,0,0,4,19.1
"pasta, veg biryani, masala dosa",15,0,0,9,31.0
pasta,6,0,0,6,17.6
pasta,22,0,0,3,18.1
"fried rice, chicken biryani",1,0,0,1,20.0
"pasta, fried rice, chicken biryani",13,0,0,16,37.6
"paneer butter masala, pizza, chicken biryani",12,0,0,9,32.2
chicken biryani,22,1,0,16,26.0
chicken biryani,22,0,0,2,16.6
pizza,10,0,0,5,19.9
fried rice,1,0,0,5,22.7
veg biryani,1,1,0,9,22.8
"naan, masala dosa",13,0,0,11,33.1
"paneer butter masala, naan",13,1,0,9,32.3
veg biryani,2,1,0,16,21.5
tandoori chicken,18,0,0,1,14.4
"chicken biryani, paneer butter masala",16,0,0,11,24.7
tandoori chicken,10,0,0,17,23.3
"tandoori chicken, fried rice, pizza",22,1,0,16,38.5
"tandoori chicken, pizza",11,0,0,15,28.1
"naan, pasta",12,0,0,3,26.0
chicken biryani,15,0,0,6,16.8
pizza,16,0,0,14,21.6
"fried rice, paneer butter masala, chicken biryani",6,1,0,9,33.8
"fried rice, pasta, veg biryani",15,0,1,2,35.2
"pizza, fried rice",11,0,0,4,20.1
"pizza, burger, veg biryani",5,0,0,17,32.9
"chicken biryani, veg biryani",10,0,0,6,24.4
"pizza, paneer butter masala",6,0,1,10,31.1
masala dosa,10,0,0,13,23.3
fried rice,10,0,0,14,20.9
masala dosa,16,0,0,4,16.6
chicken biryani,2,0,0,14,21.3
"pasta, fried rice, burger",3,0,0,14,33.9
burger,8,1,0,16,29.4
"fried rice, masala dosa, naan",11,0,0,12,31.1
"tandoori chicken, paneer butter masala",7,0,0,3,23.8
"pasta, masala dosa, pizza",1,0,0,9,30.0
"pasta, chicken biryani",12,1,0,1,29.8
veg biryani,9,0,0,8,17.7
"burger, naan, pizza",15,0,0,8,25.3
"pizza, burger, fried rice",19,1,0,19,37.7
"masala dosa, pasta, burger",3,0,0,13,28.3
chicken biryani,19,1,0,2,19.7
pizza,9,0,0,18,24.0
"tandoori chicken, chicken biryani",4,0,0,8,23.6
"tandoori chicken, veg biryani",7,0,0,3,18.3
"pizza, fried rice, pasta",19,0,0,13,36.5
"naan, pasta, paneer butter masala",5,0,0,17,32.1
"chicken biryani, veg biryani",8,0,0,1,22.7
"naan, pizza",1,0,0,11,24.3
"pizza, tandoori chicken",20,0,0,5,29.2
veg biryani,1,0,0,9,18.3
pasta,15,0,0,14,20.6
burger,21,0,0,8,21.0
"paneer butter masala, pasta",14,0,0,16,30.1
pizza,1,1,0,14,23.0
"pasta, veg biryani, chicken biryani",0,0,0,17,36.7
"naan, veg biryani, pizza",11,0,0,4,28.8
"naan, fried rice, chicken biryani",15,0,0,8,28.7
"pizza, tandoori chicken, naan",2,0,0,7,28.7
paneer butter masala,12,0,0,10,27.4
"masala dosa, veg biryani, pasta",3,0,0,9,26.0
"burger, paneer butter masala",22,0,0,6,23.1
pasta,9,0,0,12,19.5
burger,0,0,0,13,23.1
"pizza, pasta, fried rice",7,1,0,6,30.6
"tandoori chicken, naan, veg biryani",3,1,0,18,35.5
chicken biryani,17,0,0,12,20.7
"pizza, veg biryani",4,0,0,12,25.7
"naan, pizza",12,0,0,4,28.6
burger,9,0,0,2,15.5
veg biryani,22,0,0,1,13.1
"veg biryani, fried rice, tandoori chicken",12,1,0,10,40.6
masala dosa,19,0,0,11,23.3
"pasta, naan",20,0,0,5,29.9
fried rice,5,0,0,4,17.2
"masala dosa, tandoori chicken",21,0,1,3,33.3
"chicken biryani, pizza",4,0,0,10,25.8
"naan, pizza",23,0,0,15,25.3
"chicken biryani, masala dosa",14,1,0,5,25.4
chicken biryani,10,0,0,18,20.9
masala dosa,12,0,0,5,19.5
"pasta, veg biryani",11,0,0,13,27.8
"paneer butter masala, pasta, veg biryani",8,0,0,13,32.5
"pizza, masala dosa, fried rice",17,0,0,14,29.8
"fried rice, naan, pizza",11,1,0,1,30.0
"burger, naan, tandoori chicken",17,0,0,3,27.1
