items,hour,rain,event,kitchen_load,prep_time
"paneer butter masala, burger, pizza",8,0,0,17,33.0
"fried rice, veg biryani, naan",18,0,0,11,30.6
"naan, fried rice, tandoori chicken",19,0,0,5,25.3
veg biryani,20,0,0,15,26.0
"paneer butter masala, veg biryani",6,0,1,10,32.8
"burger, veg biryani, masala dosa",23,0,0,19,32.9
"chicken biryani, pasta",7,0,1,9,31.3
"chicken biryani, burger, veg biryani",5,0,0,1,22.4
pizza,1,0,0,13,20.8
fried rice,22,0,1,7,23.9
"masala dosa, chicken biryani",13,0,0,16,36.8
"paneer butter masala, chicken biryani",18,0,0,14,28.4
"tandoori chicken, pizza, pasta",14,0,0,5,28.7
"burger, naan",21,0,0,5,26.9
pizza,12,0,1,1,28.5
veg biryani,14,0,0,16,23.4
"fried rice, tandoori chicken",0,0,0,12,24.8
"chicken biryani, pasta, tandoori chicken",11,0,0,1,26.5
pasta,17,0,0,8,19.9
burger,5,1,0,13,23.4
"tandoori chicken, naan",17,0,0,17,26.0
pasta,23,0,0,10,18.8
"pizza, masala dosa",23,0,0,4,21.3
veg biryani,1,0,1,4,25.1
"chicken biryani, veg biryani, burger",5,1,1,16,41.6
"fried rice, tandoori chicken",19,0,0,5,24.0
"burger, pizza, naan",19,0,0,17,31.3
"burger, veg biryani",5,0,0,13,26.0
"naan, fried rice",10,0,1,12,34.7
masala dosa,0,0,1,19,29.8
"naan, paneer butter masala",0,0,0,4,22.0
"burger, pizza",13,1,0,7,31.5
"burger, pizza, fried rice",23,0,0,5,25.7
"pizza, veg biryani",19,0,0,11,26.7
naan,11,0,0,13,24.2
pasta,7,0,0,2,18.3
"naan, veg biryani",16,1,1,4,31.0
"paneer butter masala, pasta, burger",11,0,0,19,35.1
"masala dosa, tandoori chicken, paneer butter masala",9,0,1,7,38.5
masala dosa,15,0,0,18,22.6
"masala dosa, paneer butter masala, pasta",21,0,0,9,34.4
"burger, masala dosa, pasta",6,0,0,17,33.6
"veg biryani, chicken biryani",16,0,0,13,24.8
"chicken biryani, naan, tandoori chicken",2,1,0,16,36.4
"pizza, fried rice",6,0,0,18,29.0
"pasta, naan, chicken biryani",19,0,0,15,36.8
"tandoori chicken, pizza, burger",8,0,1,11,36.0
"masala dosa, tandoori chicken, burger",0,0,1,8,34.2
"veg biryani, pasta",18,0,0,4,21.5
burger,0,0,0,18,22.4
"pasta, burger, chicken biryani",9,0,0,17,30.8
"naan, pasta, masala dosa",12,0,0,13,34.7
"fried rice, tandoori chicken, masala dosa",13,1,0,18,43.0
paneer butter masala,4,0,0,2,13.5
"naan, pizza, veg biryani",9,0,0,18,34.4
"burger, tandoori chicken",12,1,0,17,36.3
"tandoori chicken, chicken biryani, veg biryani",6,0,0,16,35.5
"paneer butter masala, fried rice, burger",23,0,0,5,30.5
"veg biryani, burger",15,1,0,17,32.1
"fried rice, burger",20,0,0,1,25.7
"naan, pasta",4,0,0,2,22.0
"fried rice, pizza",4,0,0,2,23.6
"pizza, tandoori chicken",8,0,0,12,25.8
veg biryani,11,0,0,17,24.8
tandoori chicken,18,0,0,6,20.7
burger,11,0,1,18,27.5
naan,2,0,1,6,27.9
pasta,3,0,1,10,23.6
veg biryani,2,0,1,2,22.9
"pasta, chicken biryani",13,0,0,16,34.0
paneer butter masala,11,0,0,11,16.4
"pasta, fried rice",9,0,0,8,22.5
"pizza, burger, paneer butter masala",15,1,0,18,40.3
masala dosa,12,0,0,5,19.9
veg biryani,18,0,0,5,14.9
"veg biryani, tandoori chicken",15,0,0,2,20.3
"tandoori chicken, masala dosa, paneer butter masala",14,0,0,15,30.9
"chicken biryani, tandoori chicken",19,0,0,11,27.2
"tandoori chicken, fried rice, paneer butter masala",22,0,0,15,31.3
tandoori chicken,11,0,1,14,26.0
"chicken biryani, pasta",0,0,0,14,29.7
"fried rice, masala dosa, burger",8,0,0,3,26.6
paneer butter masala,0,0,0,6,19.9
"paneer butter masala, pasta",13,0,0,5,28.0
"chicken biryani, burger",9,1,0,12,26.4
"pasta, burger",19,0,0,4,24.7
"pasta, naan, chicken biryani",18,0,0,2,23.4
"burger, pasta, veg biryani",19,0,0,12,30.2
"pizza, tandoori chicken",4,0,0,2,19.7
"veg biryani, paneer butter masala",21,0,0,6,25.2
"burger, pasta, chicken biryani",16,0,0,16,34.1
"pizza, tandoori chicken",14,0,0,9,24.6
"masala dosa, tandoori chicken",23,0,1,6,28.3
naan,7,0,1,4,27.6
"masala dosa, chicken biryani",7,1,0,11,28.4
pasta,4,0,0,12,19.2
"paneer butter masala, tandoori chicken",17,0,0,1,21.8
naan,6,0,0,5,19.0
"naan, masala dosa",11,0,0,6,23.0
"veg biryani, tandoori chicken",10,0,0,10,23.8
"naan, tandoori chicken",19,0,0,11,27.0
tandoori chicken,13,0,0,3,22.7
tandoori chicken,3,1,1,14,31.6
"burger, paneer butter masala, veg biryani",1,1,1,2,37.0
"naan, veg biryani, masala dosa",20,1,0,9,40.7
"chicken biryani, burger, tandoori chicken",6,0,0,3,27.3
"fried rice, naan, paneer butter masala",22,0,0,4,26.2
veg biryani,15,0,0,18,23.5
fried rice,14,0,0,6,20.6
"burger, paneer butter masala",5,0,0,1,21.2
"masala dosa, tandoori chicken",16,0,0,8,23.6
"veg biryani, pizza",6,0,0,6,23.3
tandoori chicken,4,0,0,15,23.6
naan,23,1,0,7,23.2
"chicken biryani, paneer butter masala, fried rice",14,0,0,4,29.0
masala dosa,18,0,0,10,22.1
"naan, masala dosa",5,0,0,15,26.5
pasta,2,0,0,15,25.3
"tandoori chicken, pizza, fried rice",21,0,0,4,31.1
"pasta, naan",10,0,0,5,20.1
"pizza, naan",7,0,0,11,24.1
"paneer butter masala, masala dosa, tandoori chicken",18,0,0,18,33.6
"tandoori chicken, chicken biryani",16,1,1,4,32.1
"chicken biryani, paneer butter masala, naan",4,1,0,5,28.9
"paneer butter masala, chicken biryani, fried rice",5,0,0,19,35.4
"tandoori chicken, burger",6,0,1,11,30.5
burger,23,1,0,1,18.2
naan,7,1,0,8,18.8
"pizza, burger, chicken biryani",7,0,0,9,32.3
"veg biryani, burger, paneer butter masala",6,0,0,11,30.4
masala dosa,20,0,1,11,34.1
burger,1,0,1,7,27.6
chicken biryani,13,0,0,18,27.6
"tandoori chicken, masala dosa, naan",22,0,0,9,29.0
"tandoori chicken, pizza, pasta",8,0,1,17,38.3
"fried rice, pasta",2,0,0,19,29.9
"veg biryani, burger, paneer butter masala",23,0,0,13,31.2
fried rice,0,0,0,19,27.3
"pizza, burger, pasta",15,0,0,6,22.7
pizza,14,0,0,8,16.2
chicken biryani,17,0,0,18,22.4
"paneer butter masala, burger, pasta",1,1,0,3,30.9
"naan, paneer butter masala, pasta",21,0,0,15,35.2
"fried rice, naan",13,0,0,15,34.2
"veg biryani, chicken biryani, masala dosa",16,1,0,14,36.2
"paneer butter masala, fried rice, chicken biryani",23,1,0,5,29.9
"tandoori chicken, burger",13,0,0,10,27.9
fried rice,1,0,0,19,27.2
"tandoori chicken, burger, paneer butter masala",3,1,0,11,35.4
"fried rice, burger",20,0,0,12,30.0
masala dosa,18,0,0,12,23.0
masala dosa,23,0,1,12,29.9
"chicken biryani, tandoori chicken",16,0,0,19,29.4
"tandoori chicken, naan",0,0,0,2,18.3
"chicken biryani, burger, fried rice",7,0,0,4,28.5
veg biryani,6,0,1,2,19.7
"masala dosa, chicken biryani, fried rice",19,0,0,12,32.1
"paneer butter masala, masala dosa",21,0,0,6,26.2
fried rice,15,0,0,10,21.7
"fried rice, pizza, pasta",4,1,0,14,34.3
"tandoori chicken, fried rice",6,0,0,11,25.9
pizza,3,0,0,17,25.0
tandoori chicken,8,1,0,5,23.5
"burger, veg biryani, pizza",5,0,0,15,33.7
"pizza, naan, veg biryani",2,0,0,13,28.5
naan,0,0,0,2,15.9
"paneer butter masala, masala dosa, tandoori chicken",4,0,0,7,32.0
burger,22,0,0,12,18.8
tandoori chicken,18,0,0,12,22.9
"fried rice, pasta, veg biryani",16,1,1,17,43.4
"naan, tandoori chicken",16,0,0,19,30.7
naan,17,0,0,5,19.2
"naan, pasta",15,0,0,15,28.4
"fried rice, tandoori chicken, veg biryani",19,0,0,15,32.7
"naan, fried rice, burger",9,1,0,7,30.4
"fried rice, masala dosa, naan",20,0,0,9,34.1
"veg biryani, naan",15,0,0,7,23.2
"pizza, tandoori chicken",13,0,0,7,28.7
veg biryani,19,0,0,2,15.1
tandoori chicken,17,1,0,12,26.7
"fried rice, veg biryani, tandoori chicken",15,0,0,13,32.1
"chicken biryani, fried rice, masala dosa",0,0,0,10,29.6
"veg biryani, naan, paneer butter masala",21,0,1,13,45.5
"pizza, burger",14,0,1,3,28.5
"fried rice, burger, pizza",17,0,0,10,28.9
"naan, veg biryani",7,0,0,5,18.8
pasta,0,1,0,5,19.9
"masala dosa, pasta",0,0,0,14,25.1
"naan, burger, chicken biryani",18,1,0,5,29.9
"pizza, pasta, fried rice",11,0,0,14,33.7
"tandoori chicken, veg biryani",14,1,0,4,25.4
"masala dosa, chicken biryani, fried rice",7,0,1,19,38.4
"tandoori chicken, veg biryani, chicken biryani",13,0,0,17,38.6
pasta,6,1,0,5,23.3
"masala dosa, paneer butter masala",9,0,0,3,20.4
"fried rice, pasta, naan",6,0,0,15,32.2
burger,8,0,0,9,21.8
paneer butter masala,16,0,0,10,21.1
"chicken biryani, naan",0,0,0,15,29.7
"chicken biryani, tandoori chicken, paneer butter masala",6,0,0,16,31.3
pasta,1,0,0,5,17.5
"paneer butter masala, naan, fried rice",19,1,0,13,39.6
pasta,4,1,0,2,17.9
"tandoori chicken, masala dosa",22,0,0,1,21.0
"burger, naan, chicken biryani",1,0,0,16,33.6
"burger, chicken biryani",6,0,0,10,25.6
"pasta, pizza",20,0,0,13,30.2
chicken biryani,13,1,0,10,27.3
"pasta, naan, pizza",7,0,0,4,25.3
"paneer butter masala, veg biryani, pizza",19,0,0,12,31.4
burger,9,0,0,13,21.6
"pizza, veg biryani",6,0,0,7,24.6
"veg biryani, chicken biryani",6,0,0,5,22.6
"fried rice, pasta, veg biryani",9,0,1,4,33.6
chicken biryani,3,0,0,10,19.2
chicken biryani,1,0,0,18,24.7
"chicken biryani, naan",15,0,0,6,21.9
"chicken biryani, fried rice, masala dosa",7,0,0,11,29.4
"burger, veg biryani, pasta",14,0,1,17,44.3
"masala dosa, paneer butter masala",20,0,0,15,33.8
pasta,23,0,0,14,24.0
chicken biryani,14,0,0,3,17.8
"burger, fried rice",18,0,0,6,22.8
pizza,15,0,0,1,17.8
"masala dosa, pasta",6,0,0,17,26.6
pizza,17,0,0,15,27.5
chicken biryani,23,0,0,8,15.7
pizza,14,0,0,7,16.6
chicken biryani,23,0,1,3,24.1
naan,10,0,0,14,25.3
paneer butter masala,13,0,0,16,31.0
fried rice,15,0,0,2,14.7
"paneer butter masala, chicken biryani, tandoori chicken",10,0,0,18,36.0
"veg biryani, paneer butter masala",16,0,0,15,24.3
"paneer butter masala, masala dosa, tandoori chicken",2,0,0,6,29.5
"masala dosa, pizza",12,1,0,19,37.0
"burger, pasta",6,1,0,16,30.2
"masala dosa, chicken biryani",18,0,0,1,20.1
"pizza, pasta",0,0,0,1,20.6
veg biryani,20,1,0,13,29.1
"naan, pizza, pasta",7,0,0,14,30.5
"fried rice, paneer butter masala",16,0,0,10,27.8
"pasta, naan, masala dosa",1,0,1,7,37.3
"chicken biryani, fried rice, burger",19,0,0,12,31.8
"chicken biryani, veg biryani, naan",16,1,0,7,32.9
"tandoori chicken, burger",13,0,0,6,27.6
"paneer butter masala, pizza",7,0,0,10,27.6
naan,8,0,0,12,19.7
"paneer butter masala, pasta",18,1,0,14,29.0
paneer butter masala,13,0,0,19,26.9
fried rice,1,0,0,10,22.4
paneer butter masala,10,0,0,15,22.0
"veg biryani, pizza",23,1,0,5,22.2
"veg biryani, paneer butter masala, tandoori chicken",6,0,0,18,34.4
"veg biryani, fried rice",1,0,0,4,24.1
"naan, tandoori chicken",20,1,1,6,36.2
"tandoori chicken, veg biryani",2,0,0,15,24.8
"burger, paneer butter masala",22,0,0,4,22.6
pasta,10,0,0,15,21.9
"paneer butter masala, fried rice, burger",22,0,0,2,26.5
"tandoori chicken, fried rice",3,0,0,3,20.1
"pasta, chicken biryani",16,0,0,8,20.8
"pasta, pizza, paneer butter masala",20,0,0,10,38.1
"pizza, masala dosa",13,0,0,10,33.9
chicken biryani,14,0,0,8,17.8
chicken biryani,7,0,0,11,22.2
"pasta, pizza",17,0,0,12,28.4
"naan, burger",10,0,0,6,22.5
"paneer butter masala, veg biryani",20,0,0,5,27.1
fried rice,3,1,0,3,21.0
tandoori chicken,22,0,0,14,21.8
tandoori chicken,2,0,0,18,24.3
"burger, tandoori chicken",4,1,0,15,31.4
pasta,20,0,0,6,25.2
chicken biryani,20,0,0,18,26.9
chicken biryani,4,0,0,6,17.6
fried rice,11,0,0,11,20.9
"fried rice, paneer butter masala",9,0,0,17,28.9
"burger, naan, fried rice",8,0,0,14,32.3
"veg biryani, paneer butter masala, chicken biryani",6,1,0,16,37.0
"pizza, paneer butter masala, fried rice",5,0,0,2,28.0
fried rice,7,1,0,9,21.8
"veg biryani, pizza, chicken biryani",5,0,0,2,26.4
"burger, tandoori chicken",4,0,0,6,24.8
"pizza, naan, pasta",20,1,0,13,39.2
"paneer butter masala, burger, fried rice",0,1,0,7,28.9
"fried rice, veg biryani",10,0,0,1,17.2
fried rice,2,0,0,12,21.1
"chicken biryani, pizza",0,0,0,2,20.5
"chicken biryani, naan, veg biryani",1,0,0,8,24.0
"burger, pasta, naan",16,0,0,12,35.6
"veg biryani, masala dosa",12,0,0,15,37.2
"naan, fried rice",2,0,0,18,30.5
paneer butter masala,0,0,0,11,20.0
"chicken biryani, pizza, burger",16,1,0,13,35.3
"masala dosa, fried rice",9,0,0,4,20.3
"fried rice, burger, naan",5,0,0,3,24.5
pizza,15,0,0,18,24.6
chicken biryani,8,1,0,7,21.4
pizza,14,0,0,13,20.3
"fried rice, paneer butter masala, pizza",23,0,0,4,25.2
"tandoori chicken, veg biryani",1,0,0,1,21.5
"chicken biryani, paneer butter masala, pizza",7,0,0,9,24.9
"burger, pasta, fried rice",10,0,0,10,29.4
"fried rice, pizza, tandoori chicken",4,0,0,18,35.5
"naan, veg biryani, pasta",4,0,0,7,27.2
"pizza, chicken biryani, tandoori chicken",13,0,0,18,39.6
chicken biryani,7,0,0,12,20.3
"paneer butter masala, veg biryani, fried rice",14,0,0,15,33.4
"burger, chicken biryani",11,0,0,11,24.4
"masala dosa, burger",19,0,0,2,18.3
"burger, paneer butter masala, pasta",19,0,0,18,31.1
"pizza, tandoori chicken",12,0,0,7,24.7
"masala dosa, paneer butter masala",21,0,0,4,28.1
pasta,12,0,0,8,27.3
"veg biryani, naan",9,0,0,9,22.3
fried rice,12,0,0,17,27.1
tandoori chicken,5,1,0,12,24.5
"fried rice, pizza, paneer butter masala",17,1,0,12,30.9
masala dosa,12,0,0,6,22.7
veg biryani,10,0,1,8,24.9
"naan, masala dosa",14,0,0,5,23.6
"tandoori chicken, pizza",6,0,0,16,26.2
pasta,5,0,0,8,17.9
burger,13,0,1,8,28.2
pizza,17,0,0,6,19.6
"naan, fried rice",15,1,0,12,27.6
fried rice,3,0,0,14,21.4
"fried rice, pizza",6,0,0,2,20.2
tandoori chicken,14,1,0,11,22.4
masala dosa,17,1,0,6,22.6
"burger, paneer butter masala",5,1,0,5,25.6
"veg biryani, tandoori chicken",19,0,0,13,21.6
"pizza, masala dosa",2,0,0,14,28.1
fried rice,2,0,0,3,17.7
"masala dosa, fried rice",9,0,0,18,29.2
"tandoori chicken, fried rice",23,1,0,1,24.6
paneer butter masala,5,1,0,14,25.6
"pasta, chicken biryani",12,1,0,2,28.8
masala dosa,12,0,0,15,27.6
"fried rice, chicken biryani, naan",7,1,0,13,35.6
tandoori chicken,19,1,0,6,17.7
"masala dosa, pasta, pizza",2,0,0,2,28.5
"masala dosa, fried rice",0,0,0,11,26.8
chicken biryani,15,0,0,9,22.2
"pasta, tandoori chicken",13,0,0,14,32.6
pasta,22,0,0,7,17.2
burger,4,0,0,4,11.9
"burger, naan",23,0,0,3,23.4
"veg biryani, burger, pasta",8,0,0,14,31.2
"veg biryani, burger, naan",19,1,0,6,28.7
"chicken biryani, veg biryani",20,0,0,7,25.4
"fried rice, masala dosa, pasta",13,1,0,18,44.1
naan,16,0,0,17,23.7
pizza,6,0,0,4,15.1
"fried rice, burger",2,1,0,18,27.4
"burger, veg biryani, masala dosa",4,0,0,10,29.1
fried rice,23,1,1,17,34.4
"pasta, naan, pizza",9,1,0,1,28.8
"masala dosa, burger",12,1,0,8,36.3
"pizza, tandoori chicken",4,0,0,8,22.8
"pizza, tandoori chicken",5,0,0,13,27.4
"burger, paneer butter masala, veg biryani",18,0,0,13,30.1
"burger, naan",3,0,0,1,18.9
paneer butter masala,0,0,0,15,25.1
"pasta, burger",6,1,0,19,34.9
tandoori chicken,2,0,0,16,24.4
"pasta, paneer butter masala, masala dosa",1,1,0,8,29.2
"naan, veg biryani, masala dosa",6,0,0,4,30.0
"naan, pizza",13,0,0,18,32.4
pizza,17,0,0,13,20.8
paneer butter masala,0,0,0,2,15.3
"masala dosa, burger, paneer butter masala",1,1,0,8,30.3
"pasta, pizza, tandoori chicken",15,0,0,18,33.6
chicken biryani,18,1,0,3,18.9
pasta,23,0,0,7,20.2
"fried rice, chicken biryani",16,0,0,8,22.4
tandoori chicken,6,0,0,11,22.7
pizza,23,0,0,13,19.9
"tandoori chicken, masala dosa",15,0,0,15,25.1
"tandoori chicken, burger, pizza",13,0,0,5,32.4
pizza,7,0,0,19,26.5
"chicken biryani, fried rice, veg biryani",19,0,0,16,33.4
"fried rice, pizza, pasta",23,1,0,3,32.1
"paneer butter masala, chicken biryani, fried rice",12,0,0,14,36.2
chicken biryani,9,0,0,9,20.9
masala dosa,22,0,0,12,16.6
"pasta, tandoori chicken, pizza",12,0,0,2,32.5
"tandoori chicken, pasta",13,0,0,6,30.2
"chicken biryani, paneer butter masala",2,1,1,4,35.1
masala dosa,10,0,0,5,15.0
"fried rice, naan, pizza",7,0,0,7,30.8
pizza,16,0,0,4,15.9
burger,9,0,0,5,20.6
burger,6,0,0,2,20.0
pizza,21,0,0,19,27.9
"masala dosa, burger",5,0,0,6,23.0
"naan, pizza, tandoori chicken",4,0,0,19,32.2
"masala dosa, pasta",9,0,0,18,28.6
"paneer butter masala, veg biryani",6,0,0,15,25.5
pasta,2,0,0,15,26.2
"naan, veg biryani, masala dosa",3,0,0,11,31.1
"pizza, veg biryani",1,1,0,11,25.7
chicken biryani,16,0,0,13,22.4
"tandoori chicken, pasta, paneer butter masala",22,0,0,3,26.9
"burger, pizza",10,0,0,5,17.1
naan,0,1,0,4,18.4
naan,22,0,1,3,26.8
paneer butter masala,22,0,0,12,20.1
"veg biryani, pizza, masala dosa",5,0,0,4,25.1
paneer butter masala,15,0,1,16,28.1
"masala dosa, veg biryani, pasta",18,0,0,13,30.1
naan,2,1,0,18,26.0
"paneer butter masala, tandoori chicken, pizza",5,1,0,4,32.1
"tandoori chicken, masala dosa, chicken biryani",21,0,0,11,34.0
"veg biryani, fried rice, paneer butter masala",23,1,0,7,33.8
chicken biryani,17,0,0,5,16.7
"tandoori chicken, burger, veg biryani",19,1,0,3,27.8
fried rice,20,0,0,12,27.2
"naan, veg biryani",19,0,0,18,27.8
naan,1,0,0,1,18.8
burger,17,0,0,2,18.0
veg biryani,21,0,0,2,16.4
pasta,11,0,0,1,13.3
"paneer butter masala, pizza, pasta",2,0,0,10,29.6
chicken biryani,11,0,0,7,17.1
veg biryani,18,0,0,10,20.1
"fried rice, pizza",4,1,0,17,30.2
"veg biryani, pasta, fried rice",13,0,0,14,35.4
"naan, pasta, chicken biryani",17,0,0,8,28.3
pizza,17,0,1,17,31.5
"tandoori chicken, paneer butter masala, veg biryani",19,0,0,3,26.7
"pasta, chicken biryani",15,0,0,18,30.8
pasta,1,0,0,11,20.7
"naan, chicken biryani, pasta",1,0,0,4,24.1
"masala dosa, chicken biryani, tandoori chicken",10,0,0,9,31.0
"burger, veg biryani",7,0,0,6,22.6
tandoori chicken,3,0,0,3,18.1
"paneer butter masala, veg biryani",12,0,0,1,25.0
"burger, veg biryani, pasta",8,0,0,16,32.6
"paneer butter masala, fried rice",7,0,0,9,22.2
"pizza, veg biryani, paneer butter masala",11,1,0,16,36.0
"fried rice, pasta, masala dosa",1,0,0,2,26.6
pasta,17,0,0,5,19.9
"pasta, chicken biryani, tandoori chicken",20,0,0,5,37.7
"pasta, fried rice, masala dosa",6,1,0,9,32.8
fried rice,11,0,0,11,23.1
"burger, pizza, paneer butter masala",0,1,0,9,32.3
"fried rice, naan",12,1,0,16,31.5
"naan, tandoori chicken",15,0,0,1,19.4
chicken biryani,8,0,0,11,19.7
"fried rice, pasta, pizza",15,0,0,17,33.3
"masala dosa, pizza",2,1,0,16,33.5
veg biryani,10,0,0,15,23.1
"fried rice, naan",12,0,0,3,26.0
"pizza, chicken biryani, pasta",2,0,0,6,26.8
"pizza, naan, veg biryani",9,0,0,14,31.6
pasta,19,1,0,9,23.8
"veg biryani, masala dosa, pasta",10,0,1,2,35.2
"tandoori chicken, veg biryani, pasta",16,0,0,4,25.1
masala dosa,17,0,0,17,22.9
naan,22,0,0,6,19.4
chicken biryani,8,0,1,10,26.1
"masala dosa, paneer butter masala, burger",17,0,0,13,33.3
"fried rice, chicken biryani, masala dosa",16,0,0,14,30.9
"masala dosa, pasta, chicken biryani",8,0,0,4,26.6
"pasta, masala dosa",1,0,0,14,26.3
"veg biryani, burger, paneer butter masala",9,0,0,14,33.9
"chicken biryani, burger",23,1,0,16,34.4
"pasta, veg biryani",23,0,0,12,26.1
"masala dosa, veg biryani",19,0,0,3,23.8
"fried rice, naan",17,0,0,9,25.0
"naan, burger, pizza",15,1,0,1,29.8
chicken biryani,13,0,0,8,22.7
naan,11,0,0,8,15.3
pasta,10,1,0,19,27.7
masala dosa,9,0,0,13,18.3
"tandoori chicken, naan",22,1,0,2,24.7
"pasta, chicken biryani",18,0,0,18,29.0
"chicken biryani, paneer butter masala",2,0,0,8,23.6
"veg biryani, fried rice",12,0,0,3,23.3
"fried rice, masala dosa",10,0,0,13,31.5
"paneer butter masala, masala dosa",13,0,0,17,32.1
"pasta, pizza, masala dosa",12,0,0,1,32.7
"pasta, chicken biryani",6,0,0,11,24.3
"burger, naan, pasta",5,0,0,5,29.2
"masala dosa, fried rice, pasta",21,0,0,9,33.3
"fried rice, pizza, paneer butter masala",5,0,0,14,30.6
"paneer butter masala, naan",11,0,0,8,21.0
"masala dosa, fried rice",5,0,0,16,30.1
fried rice,5,1,0,14,23.0
paneer butter masala,21,0,0,17,31.7
"tandoori chicken, burger",5,0,0,4,23.8
"pizza, tandoori chicken",17,0,0,8,23.7
naan,21,0,0,7,23.7
"pasta, masala dosa",4,0,0,10,27.4
"burger, pizza, naan",1,0,0,9,26.0
"pasta, chicken biryani, veg biryani",23,0,0,6,28.1
"paneer butter masala, chicken biryani",5,0,0,12,24.5
chicken biryani,10,0,0,13,23.1
fried rice,22,1,0,6,20.6
"burger, pasta",11,1,0,18,30.5
"pasta, pizza",22,0,0,12,25.7
"paneer butter masala, tandoori chicken",20,0,0,12,30.7
pizza,22,0,0,4,18.6
naan,5,0,0,2,15.5
"chicken biryani, veg biryani, pizza",3,0,0,1,23.1
"tandoori chicken, paneer butter masala, fried rice",7,1,0,10,35.6
"paneer butter masala, tandoori chicken",0,0,0,11,28.3
paneer butter masala,23,0,0,5,19.9
"naan, pasta, fried rice",10,0,0,4,27.2
"masala dosa, pasta",8,0,1,3,28.3
"veg biryani, tandoori chicken",23,0,0,10,25.8
"burger, pizza",19,0,0,15,25.3
fried rice,8,1,0,5,20.4
"chicken biryani, burger, tandoori chicken",9,0,0,18,30.9
"fried rice, naan",13,0,0,5,24.5
"burger, naan, pasta",13,0,0,13,37.8
"burger, pizza, tandoori chicken",19,0,0,13,32.5
chicken biryani,1,0,0,14,19.8
"masala dosa, pasta, paneer butter masala",19,1,0,1,30.0
"fried rice, pizza, burger",2,0,0,3,27.1
pasta,0,0,0,3,15.8
"pizza, paneer butter masala",17,1,0,19,31.6
burger,4,0,0,4,14.4
